match_date,home_team,away_team,closing_home_odds,closing_draw_odds,closing_away_odds,closing_ou_main_line,closing_over_odds,closing_under_odds,home_goals,away_goals,market_snapshot_lead_minutes,competition,neutral_venue,lineup_completeness,closing_ah_main_line,closing_fair_total_override,bookmaker_count
2023-12-06,Fulham,Nott'm Forest,2.05,3.49,3.78,2.5,2.05,1.81,5,0,,E0,0,,-0.5,,
2023-12-06,Sheffield United,Liverpool,13.54,7.67,1.2,2.5,1.32,3.4,0,2,,E0,0,,2,,
2023-12-06,Aston Villa,Man City,4.45,4.26,1.73,2.5,1.51,2.57,1,0,,E0,0,,0.75,,
2023-12-06,Man United,Chelsea,2.82,3.65,2.43,2.5,1.65,2.28,2,1,,E0,0,,0.25,,
2023-12-07,Everton,Newcastle,3.13,3.44,2.33,2.5,1.92,1.91,3,0,,E0,0,,0.25,,
2023-12-07,Tottenham,West Ham,1.79,4.22,4.08,2.5,1.5,2.61,1,2,,E0,0,,-0.75,,
2023-12-09,Crystal Palace,Liverpool,6.12,4.54,1.52,2.5,1.65,2.28,1,2,,E0,0,,1,,
2023-12-09,Brighton,Burnley,1.5,4.69,6.18,2.5,1.59,2.4,1,1,,E0,0,,-1,,
2023-12-09,Man United,Bournemouth,1.55,4.65,5.54,2.5,1.51,2.56,0,3,,E0,0,,-1,,
2023-12-09,Sheffield United,Brentford,4.48,3.82,1.8,2.5,1.91,1.93,1,0,,E0,0,,0.75,,
2023-12-09,Wolves,Nott'm Forest,1.87,3.64,4.34,2.5,2.0,1.83,1,1,,E0,0,,-0.5,,
2023-12-09,Aston Villa,Arsenal,3.41,3.66,2.11,2.5,1.72,2.15,1,0,,E0,0,,0.25,,
2023-12-10,Everton,Chelsea,3.02,3.59,2.31,2.5,1.78,2.05,2,0,,E0,0,,0.25,,
2023-12-10,Fulham,West Ham,2.39,3.49,2.95,2.5,1.85,1.98,5,0,,E0,0,,-0.25,,
2023-12-10,Luton,Man City,18.02,8.94,1.15,2.5,1.38,2.99,1,2,,E0,0,,2.25,,
2023-12-10,Tottenham,Newcastle,2.2,3.84,3.05,2.5,1.53,2.49,4,1,,E0,0,,-0.25,,
2023-12-15,Nott'm Forest,Tottenham,4.52,4.13,1.74,2.5,1.63,2.32,0,2,,E0,0,,0.75,,
2023-12-16,Chelsea,Sheffield United,1.24,6.49,12.28,2.5,1.52,2.54,2,0,,E0,0,,-1.75,,
2023-12-16,Man City,Crystal Palace,1.18,7.77,16.06,2.5,1.46,2.71,2,2,,E0,0,,-2,,
2023-12-16,Newcastle,Fulham,1.87,3.91,4.03,2.5,1.72,2.16,3,0,,E0,0,,-0.5,,
2023-12-16,Burnley,Everton,3.55,3.45,2.14,2.5,2.02,1.81,0,2,,E0,0,,0.25,,
2023-12-17,Arsenal,Brighton,1.48,4.73,6.5,2.5,1.58,2.36,2,0,,E0,0,,-1.25,,
2023-12-17,Brentford,Aston Villa,3.26,3.71,2.16,2.5,1.69,2.18,1,2,,E0,0,,0.25,,
2023-12-17,West Ham,Wolves,2.16,3.55,3.4,2.5,1.9,1.93,3,0,,E0,0,,-0.25,,
2023-12-17,Liverpool,Man United,1.32,6.09,8.5,2.5,1.32,3.39,0,0,,E0,0,,-1.5,,
2023-12-21,Crystal Palace,Brighton,3.35,3.5,2.18,2.5,1.92,1.92,1,1,,E0,0,,0.25,,
2023-12-22,Aston Villa,Sheffield United,1.24,6.67,11.7,2.5,1.46,2.74,1,1,,E0,0,,-1.75,,
2023-12-23,West Ham,Man United,2.61,3.65,2.6,2.5,1.68,2.22,2,0,,E0,0,,0,,
2023-12-23,Fulham,Burnley,1.7,3.94,5.01,2.5,1.87,1.97,0,2,,E0,0,,-0.75,,
2023-12-23,Luton,Newcastle,5.0,4.23,1.65,2.5,1.77,2.06,1,0,,E0,0,,0.75,,
2023-12-23,Nott'm Forest,Bournemouth,2.76,3.49,2.54,2.5,1.89,1.95,2,3,,E0,0,,0,,
2023-12-23,Tottenham,Everton,1.8,4.16,4.08,2.5,1.54,2.48,2,1,,E0,0,,-0.75,,
2023-12-23,Liverpool,Arsenal,2.43,3.63,2.83,2.5,1.69,2.2,1,1,,E0,0,,-0.25,,
2023-12-24,Wolves,Chelsea,3.73,3.73,1.98,2.5,1.83,2.02,2,1,,E0,0,,0.5,,
2023-12-26,Newcastle,Nott'm Forest,1.51,4.41,6.57,2.5,1.78,2.02,1,3,,E0,0,,-1,,
2023-12-26,Bournemouth,Fulham,2.22,3.62,3.2,2.5,1.76,2.08,3,0,,E0,0,,-0.25,,
2023-12-26,Sheffield United,Luton,2.41,3.32,3.07,2.5,2.11,1.75,2,3,,E0,0,,-0.25,,
2023-12-26,Burnley,Liverpool,7.67,5.3,1.39,2.5,1.45,2.73,0,2,,E0,0,,1.5,,
2023-12-26,Man United,Aston Villa,2.63,3.63,2.61,2.5,1.63,2.33,3,2,,E0,0,,0,,
2023-12-27,Brentford,Wolves,1.96,3.59,3.97,2.5,1.97,1.86,1,4,,E0,0,,-0.5,,
2023-12-27,Chelsea,Crystal Palace,1.7,3.91,5.02,2.5,1.89,1.94,2,1,,E0,0,,-0.75,,
2023-12-27,Everton,Man City,5.84,4.17,1.59,2.5,1.74,2.11,1,3,,E0,0,,1,,
2023-12-28,Brighton,Tottenham,2.52,3.9,2.57,2.5,1.45,2.76,4,2,,E0,0,,0,,
2023-12-28,Arsenal,West Ham,1.35,5.39,8.64,2.5,1.58,2.4,0,2,,E0,0,,-1.5,,
